payload_size,abacos_publisher_time_stamp_ns,dds_publisher_time_stamp_ns,dds_subscriber_time_stamp_ns,abacos_subscriber_time_stamp_ns
65536,62748140572796,62748140572837,62748145299879,62748145313754
65536,62748236249921,62748236249962,62748239541629,62748239562046
65536,62748336312837,62748336312879,62748345762671,62748345769796
65536,62748436369837,62748436369837,62748436454504,62748436459046
65536,62748536425754,62748536425796,62748536519212,62748536524004
65536,62748636478379,62748636478379,62748636585588,62748636589004
65536,62748736532963,62748736533004,62748755390588,62748755393254
65536,62748836591004,62748836591004,62748836727338,62748836729838
65536,62748936674546,62748936674588,62748945658338,62748945681213
65536,62749036734504,62749036734504,62749047844213,62749047850046
