payload_size,abacos_publisher_time_stamp_ns,dds_publisher_time_stamp_ns,dds_subscriber_time_stamp_ns,abacos_subscriber_time_stamp_ns
16384,63026239025255,63026239025296,63026239196130,63026239209838
16384,63026329093630,63026329093672,63026329219172,63026329234088
16384,63026429159213,63026429159297,63026429274630,63026429281922
16384,63026529216172,63026529216213,63026529316297,63026529324172
16384,63026629271838,63026629271880,63026629354547,63026629361422
16384,63026729328922,63026729328922,63026729401755,63026729407963
16384,63026829385130,63026829385172,63026829444338,63026829449380
16384,63026929449588,63026929449630,63026929516172,63026929522297
16384,63027029500380,63027029500422,63027029556880,63027029562089
16384,63027129559880,63027129559880,63027129599214,63027129602714
